time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-21T14:10:16.520Z,37.5718,-97.2771,5,2.2,mb_lg,,108,0.406,0.26,us,us10006fkw,2016-08-21T21:55:50.972Z,"2km NNW of Derby, Kansas",earthquake,1.8,1.9,0.12,18,reviewed,us,us
2016-08-21T13:36:25.000Z,61.0276,-152.4773,15,1.3,ml,,,,0.2,ak,ak13863897,2016-08-21T13:46:03.595Z,"62km NNE of Redoubt Volcano, Alaska",earthquake,0.9,0.4,,,automatic,ak,ak
2016-08-21T13:24:12.000Z,17.8066,-66.6398,16,2.3,Md,8,219.6,0.23625692,0.2,pr,pr16234007,2016-08-21T14:11:51.074Z,"22km S of Ponce, Puerto Rico",earthquake,0.9,1,0,6,reviewed,pr,pr
2016-08-21T13:15:07.000Z,59.9335,-152.0959,25,1.7,ml,,,,0.85,ak,ak13863896,2016-08-21T13:29:14.682Z,"22km NW of Anchor Point, Alaska",earthquake,2.8,1.7,,,automatic,ak,ak
2016-08-21T12:53:55.370Z,34.4886667,-116.5181667,1.56,1.29,ml,32,49,0.145,0.19,ci,ci37667248,2016-08-21T13:05:02.300Z,"39km NE of Big Bear City, CA",earthquake,0.28,0.69,0.153,28,automatic,ci,ci
2016-08-21T12:49:14.240Z,40.6884,143.7548,13.29,5.1,mb,,133,1.399,1.1,us,us10006fkm,2016-08-21T16:17:52.673Z,"192km E of Hachinohe, Japan",earthquake,7.3,4.5,0.043,179,reviewed,us,us
2016-08-21T12:46:57.930Z,28.5254,141.7519,63.54,5,mb,,113,1.474,0.88,us,us10006fkl,2016-08-21T13:04:01.040Z,"166km NNW of Chichi-shima, Japan",earthquake,6.6,7.6,0.038,219,reviewed,us,us
2016-08-21T12:04:47.960Z,35.7565002,-121.3083344,12.07,2.55,md,58,195,0.1344,0.08,nc,nc72682081,2016-08-21T12:08:12.690Z,"16km NW of San Simeon, California",earthquake,0.24,0.37,0.21,53,automatic,nc,nc
2016-08-21T12:01:42.000Z,60.3743,-147.3697,10,1.3,ml,,,,0.89,ak,ak13863506,2016-08-21T12:14:11.360Z,"84km ESE of Whittier, Alaska",earthquake,0.6,0.2,,,automatic,ak,ak
2016-08-21T11:49:37.090Z,38.8199997,-122.8063354,1.23,1.04,md,6,173,0.004475,0.01,nc,nc72682061,2016-08-21T11:51:12.681Z,"6km NW of The Geysers, California",earthquake,0.78,1.55,0.03,2,automatic,nc,nc
2016-08-21T11:26:30.600Z,19.4048328,-155.2830048,1.21,1.78,ml,21,41,0.007427,0.12,hv,hv61382146,2016-08-21T11:32:10.150Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.21,0.17,8,automatic,hv,hv
2016-08-21T11:13:29.029Z,41.9484,-119.5837,0.7,1.1,ml,5,210.34,0.154,0.24,nn,nn00556958,2016-08-21T13:45:12.028Z,"68km ESE of Lakeview, Oregon",earthquake,,2.9,0.12,4,reviewed,nn,nn
2016-08-21T10:49:49.300Z,37.0396,-97.8554,4.31,2.8,mb_lg,,28,0.07,0.57,us,us10006fkc,2016-08-21T17:41:21.839Z,"20km SE of Anthony, Kansas",earthquake,1.2,6.3,0.068,57,reviewed,us,us
2016-08-21T10:39:39.000Z,64.9017,-147.2264,5,1.1,ml,,,,0.7,ak,ak13863503,2016-08-21T10:52:47.756Z,"17km NNE of North Pole, Alaska",earthquake,0.2,0.4,,,automatic,ak,ak
2016-08-21T10:07:35.030Z,19.2255001,-155.4698334,38.44,2.58,ml,61,94,0.03573,0.17,hv,hv61382126,2016-08-21T10:13:16.630Z,"2km NNE of Pahala, Hawaii",earthquake,0.45,0.59,0.26,19,automatic,hv,hv
2016-08-21T10:00:39.300Z,18.1256,-66.8811,7,1.6,Md,3,144,0.21829061,0.15,pr,pr16234006,2016-08-21T10:29:36.788Z,"9km ENE of Sabana Grande, Puerto Rico",earthquake,0.6,1.8,0,3,reviewed,pr,pr
2016-08-21T09:52:20.220Z,19.4095001,-155.014328,1.3,1.81,md,27,159,0.02582,0.3,hv,hv61382081,2016-08-21T09:55:33.560Z,"12km WSW of Leilani Estates, Hawaii",earthquake,0.95,0.81,0.11,8,automatic,hv,hv
2016-08-21T09:38:05.000Z,59.5423,-153.0477,99,3.4,ml,,,,0.34,ak,ak13863102,2016-08-21T11:31:07.825Z,"73km WSW of Anchor Point, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-08-21T09:37:58.030Z,35.9805,-117.9015,3.56,1.53,ml,14,156,0.07474,0.11,ci,ci37667152,2016-08-21T09:41:46.656Z,"5km N of Little Lake, CA",earthquake,0.39,0.78,0.175,25,automatic,ci,ci
2016-08-21T09:36:41.000Z,56.5386,-159.1101,20,3.1,ml,,,,0.84,ak,ak13863098,2016-08-21T09:49:54.052Z,"38km NW of Chignik Lake, Alaska",earthquake,0.9,0.3,,,automatic,ak,ak
